Category,category,FDR,inputGenes
Photosynthetic membrane,COMPARTMENTS,6.93e-111,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q8W493', '3702.Q949Q5', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Thylakoid,COMPARTMENTS,3.18e-107,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P46283', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Plastid thylakoid membrane,COMPARTMENTS,6.92e-103,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8VZ87', '3702.Q8W493', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Chloroplast thylakoid membrane,COMPARTMENTS,1.31e-102,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8VZ87', '3702.Q8W493', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Plastid thylakoid,COMPARTMENTS,8.24e-98,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8VZ87', '3702.Q8W493', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Chloroplast thylakoid,COMPARTMENTS,1.96e-97,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8VZ87', '3702.Q8W493', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Photosystem,COMPARTMENTS,8.61e-96,"['3702.F4K8I1', '3702.O49344', '3702.O49347', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P23321', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P49107', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q949Q5', '3702.Q9C639', '3702.Q9LMQ2', '3702.Q9S714', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3']"
Plastid membrane,COMPARTMENTS,7.77e-82,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8VZ87', '3702.Q8W493', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Plastid envelope,COMPARTMENTS,6.49e-78,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P46283', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q38814', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8VZ87', '3702.Q8W493', '3702.Q944G9', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Organelle subcompartment,COMPARTMENTS,1.44e-66,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P49107', '3702.P56753', '3702.P56755', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q52T38', '3702.Q6NLG8', '3702.Q8LCA1', '3702.Q8LPS2', '3702.Q8VZ87', '3702.Q8W493', '3702.Q96500', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZR03']"
