Category,category,FDR,inputGenes
Plastid thylakoid membrane,COMPARTMENTS,1.58e-33,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Plastid thylakoid,COMPARTMENTS,4.41e-33,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Photosynthetic membrane,COMPARTMENTS,8.49e-33,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Chloroplast thylakoid membrane,COMPARTMENTS,8.57e-33,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Thylakoid,COMPARTMENTS,2.38e-32,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Chloroplast thylakoid,COMPARTMENTS,3.01e-32,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.Q01667', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Photosystem,COMPARTMENTS,1.49e-29,"['3702.O49347', '3702.P0CJ48', '3702.P27521', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Photosystem I,COMPARTMENTS,1.53e-27,"['3702.P0CJ48', '3702.P27521', '3702.Q01667', '3702.Q39142', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Plastid membrane,COMPARTMENTS,5.92e-27,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Plastid envelope,COMPARTMENTS,1.21e-25,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Organelle subcompartment,COMPARTMENTS,2.94e-22,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2']"
Chloroplast thylakoid membrane protein complex,COMPARTMENTS,7.94e-20,"['3702.P19366', '3702.P27521', '3702.Q01667', '3702.Q8LCA1', '3702.Q96500', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Organelle envelope,COMPARTMENTS,1.07e-19,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9C5A9', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Chloroplast,COMPARTMENTS,1.58e-19,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P42699', '3702.P50318', '3702.Q01667', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q96500', '3702.Q9FG67', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Photosystem II,COMPARTMENTS,3.38e-16,"['3702.O49347', '3702.P0CJ48', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9XF87', '3702.Q9XF89']"
Membrane protein complex,COMPARTMENTS,2.15e-15,"['3702.O49347', '3702.P0CJ48', '3702.P19366', '3702.P27521', '3702.P54144', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Organelle membrane,COMPARTMENTS,1.43e-14,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P27521', '3702.P42699', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q41963', '3702.Q42029', '3702.Q8LCA1', '3702.Q96500', '3702.Q9C5A9', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
